Child DCN,Child MOSIS ID,RefProgramType.Description,EnrollmentDate,ServicePlanDate,ServicePlanEndDate,VisitingIndicator,NumberOfDaysInAttendance,RefStudentGradeLevel.Description,RefFundingSource.Descriptions
0000004182,004182,Child Care,2024-12-15,2024-12-22,2025-08-31,No,61,,Local
0000004183,004183,First Steps,2019-04-17,2019-05-15,2021-05-06,No,27,Early Intervention,Private
0000004184,004184,First Steps,2019-04-04,2019-05-01,2020-11-03,No,12,Early Intervention,State
0000004184,004184,Childcare Subsidy,2020-11-16,2020-12-11,2022-05-18,No,40,,State
0000004184,004184,Head Start,2022-05-19,2022-06-05,2024-03-29,No,125,Pre-K,Private
0000004185,004185,Early Intervention,2019-08-26,2019-09-04,2020-10-11,No,54,Early Intervention,Local
0000004186,004186,Child Care,2021-02-04,2021-02-20,2022-08-26,No,181,,Federal
0000004187,004187,First Steps,2018-05-18,2018-05-22,2020-05-12,No,24,Early Intervention,Federal
0000004188,004188,Childcare Subsidy,2020-03-11,2020-04-04,2021-01-03,No,156,,State
0000004188,004188,Early Head Start,2021-04-01,2021-04-18,2021-10-19,No,108,,Private
0000004189,004189,Early Head Start,2020-07-24,2020-07-26,2021-04-05,No,62,,Local
0000004189,004189,Child Care,2021-04-23,2021-05-18,2021-08-13,No,92,,Federal
0000004189,004189,Childcare Subsidy,2021-09-04,2021-10-02,2022-07-23,No,30,,State
0000004190,004190,Early Head Start,2021-09-12,2021-10-08,2022-09-27,No,128,,State
0000004191,004191,Childcare Subsidy,2018-10-15,2018-10-29,2020-09-05,No,80,,Federal
0000004192,004192,Home Visiting,2019-12-14,2020-01-05,2021-08-09,Yes,17,,State
0000004192,004192,Childcare Subsidy,2021-08-13,2021-09-10,2022-11-26,No,135,,State
0000004192,004192,Childcare Subsidy,2022-12-10,2023-01-01,2023-07-09,No,75,,Private
0000004193,004193,Early Intervention,2021-10-09,2021-10-16,2024-01-03,No,18,Early Intervention,Federal
0000004194,004194,Child Care,2020-11-03,2020-11-12,2023-01-01,No,52,,Private
0000004194,004194,Child Care,2023-03-01,2023-03-09,2024-12-19,No,74,,Private
0000004194,004194,Childcare Subsidy,2020-10-26,2020-11-08,2022-12-16,No,181,,State
0000004195,004195,First Steps,2021-12-02,2021-12-05,2022-06-18,No,44,Early Intervention,Private
0000004195,004195,Early Intervention,2022-07-18,2022-07-21,2023-03-17,No,40,Early Intervention,Private
0000004196,004196,Early Intervention,2022-01-12,2022-01-15,2024-09-26,No,28,Early Intervention,Private
0000004196,004196,Child Care,2022-02-14,2022-03-01,2025-11-11,No,114,,Local
0000004197,004197,Early Intervention,2018-12-21,2018-12-26,2020-07-07,No,53,Early Intervention,State
0000004198,004198,Early Head Start,2019-05-26,2019-06-08,2021-05-27,No,48,,Private
0000004199,004199,Child Care,2022-06-01,2022-06-03,2023-06-30,No,176,,Local
0000004200,004200,Early Head Start,2019-09-04,2019-09-14,2020-06-27,No,62,,State
0000004200,004200,Early Head Start,2020-07-16,2020-07-31,2021-04-26,No,51,,Private
0000004201,004201,First Steps,2020-02-20,2020-03-17,2022-03-25,No,54,Early Intervention,Private
0000004201,004201,Child Care,2022-04-01,2022-04-21,2023-12-30,No,173,,Private
0000004201,004201,Early Head Start,2019-07-02,2019-07-13,2021-02-16,No,132,,Local
0000004202,004202,Home Visiting,2021-05-24,2021-05-27,2022-11-29,Yes,12,,State
0000004202,004202,First Steps,2022-12-18,2023-01-12,2024-08-03,No,27,Early Intervention,Private
0000004202,004202,Child Care,2024-08-31,2024-09-25,2025-12-07,No,119,,Private
0000004202,004202,Early Head Start,2021-06-09,2021-06-25,2022-07-30,No,120,,Private
0000004202,004202,First Steps,2022-08-13,2022-09-02,2023-09-24,No,15,Early Intervention,State
0000004203,004203,Home Visiting,2022-06-08,2022-06-28,2024-06-19,Yes,12,,State
0000004204,004204,Childcare Subsidy,2023-04-13,2023-04-18,2024-11-18,No,104,,Private
0000004204,004204,Child Care,2024-12-12,2024-12-18,2026-07-20,No,151,,Private
0000004204,004204,Child Care,2026-08-04,2026-08-26,2027-04-02,No,70,,Federal
0000004205,004205,Childcare Subsidy,2022-07-21,2022-07-24,2024-12-28,No,191,,Private
0000004205,004205,Head Start,2025-04-17,2025-04-19,2026-08-05,No,111,Pre-K,State
0000004205,004205,Child Care,2022-10-15,2022-10-22,2025-07-03,No,195,,Local
0000004206,004206,Home Visiting,2021-01-25,2021-01-27,2022-11-01,Yes,7,,Federal
0000004206,004206,Child Care,2022-11-25,2022-12-21,2024-03-07,No,158,,State
0000004207,004207,Childcare Subsidy,2018-08-24,2018-08-31,2020-07-19,No,136,,State
0000004207,004207,Home Visiting,2020-09-24,2020-10-15,2022-05-09,Yes,10,,State
0000004207,004207,State Pre-K,2022-07-13,2022-07-25,2023-03-29,No,68,Pre-K,Federal
0000004208,004208,Early Intervention,2019-09-15,2019-10-07,2021-02-12,No,24,Early Intervention,Private
0000004208,004208,Early Head Start,2021-02-24,2021-03-11,2022-06-21,No,72,,Local
0000004209,004209,Childcare Subsidy,2022-08-16,2022-09-15,2025-08-24,No,87,,Private
0000004210,004210,First Steps,2019-08-07,2019-08-10,2020-08-24,No,20,Early Intervention,Local
0000004210,004210,Early Head Start,2020-11-10,2020-11-29,2023-06-19,No,146,,State
0000004211,004211,Child Care,2022-03-04,2022-04-02,2023-06-20,No,185,,Private
0000004211,004211,Childcare Subsidy,2023-07-23,2023-08-22,2025-07-17,No,174,,Federal
0000004211,004211,Childcare Subsidy,2025-09-23,2025-10-15,2026-06-16,No,113,,Local
0000004212,004212,First Steps,2021-06-05,2021-06-12,2021-12-09,No,30,Early Intervention,State
0000004212,004212,Childcare Subsidy,2021-12-24,2022-01-17,2022-09-05,No,64,,Federal
0000004212,004212,Child Care,2022-09-08,2022-09-22,2023-03-28,No,49,,State
0000004213,004213,Home Visiting,2021-10-20,2021-11-02,2022-05-30,Yes,5,,Federal
0000004214,004214,Childcare Subsidy,2022-01-04,2022-01-14,2024-04-11,No,85,,State
0000004215,004215,Home Visiting,2022-07-03,2022-07-19,2023-12-21,Yes,21,,Federal
0000004215,004215,Early Intervention,2024-03-17,2024-03-29,2026-10-05,No,43,Early Intervention,Local
0000004216,004216,Childcare Subsidy,2022-08-10,2022-08-13,2024-01-13,No,209,,Private
0000004216,004216,Child Care,2024-05-10,2024-05-29,2026-02-13,No,116,,State
0000004216,004216,State Pre-K,2026-03-27,2026-04-24,2027-05-22,No,165,Pre-K,Private
0000004217,004217,Child Care,2020-12-08,2020-12-27,2021-11-10,No,91,,Local
0000004217,004217,Child Care,2021-11-25,2021-12-05,2023-10-25,No,100,,Local
0000004217,004217,Childcare Subsidy,2023-11-14,2023-12-14,2024-07-17,No,133,,Federal
0000004218,004218,First Steps,2018-11-15,2018-12-03,2019-06-12,No,23,Early Intervention,Local
0000004218,004218,Childcare Subsidy,2019-07-12,2019-08-09,2021-07-05,No,175,,Local
0000004218,004218,Head Start,2021-07-22,2021-08-14,2022-05-08,No,142,Pre-K,Local
0000004219,004219,Childcare Subsidy,2021-04-02,2021-04-13,2021-09-08,No,35,,Federal
0000004219,004219,Home Visiting,2021-09-11,2021-09-21,2022-05-26,Yes,13,,Federal
0000004220,004220,Childcare Subsidy,2020-12-31,2021-01-29,2023-12-19,No,141,,Local
0000004220,004220,Child Care,2023-12-24,2024-01-17,2025-05-15,No,178,,State
0000004220,004220,Childcare Subsidy,2020-11-15,2020-11-16,2023-11-03,No,174,,Private
0000004221,004221,Child Care,2019-04-21,2019-05-10,2020-10-04,No,118,,Federal
0000004221,004221,Home Visiting,2020-10-22,2020-10-23,2021-04-26,Yes,5,,Local
0000004221,004221,Early Head Start,2021-04-27,2021-05-04,2022-08-07,No,92,,Federal
0000004221,004221,Head Start,2022-08-17,2022-09-04,2023-06-11,No,148,Pre-K,Private
0000004222,004222,Early Intervention,2019-02-11,2019-03-07,2021-02-26,No,14,Early Intervention,Federal
0000004222,004222,Home Visiting,2019-04-06,2019-04-21,2021-09-16,Yes,19,,Local
0000004222,004222,Child Care,2021-10-05,2021-10-27,2023-04-24,No,110,,State
0000004223,004223,Childcare Subsidy,2019-12-27,2020-01-26,2021-05-05,No,81,,State
0000004224,004224,Home Visiting,2020-06-28,2020-07-11,2021-07-09,Yes,15,,Private
0000004224,004224,Home Visiting,2020-08-10,2020-08-25,2023-03-09,Yes,19,,Private
0000004224,004224,Child Care,2023-03-26,2023-04-02,2024-02-15,No,102,,Federal
0000004225,004225,Home Visiting,2020-03-09,2020-03-26,2021-12-04,Yes,4,,Local
0000004225,004225,Head Start,2021-12-07,2022-01-05,2023-02-25,No,164,Pre-K,Local
0000004225,004225,Child Care,2023-03-07,2023-03-19,2024-04-08,No,191,,Federal
0000004226,004226,Childcare Subsidy,2018-06-07,2018-06-24,2020-04-08,No,182,,Federal
0000004226,004226,First Steps,2018-07-24,2018-08-08,2021-10-17,No,27,Early Intervention,Federal
0000004226,004226,Childcare Subsidy,2021-10-27,2021-11-26,2023-08-07,No,145,,Private
0000004227,004227,Childcare Subsidy,2022-09-18,2022-10-06,2023-12-23,No,188,,Local
0000004227,004227,Child Care,2022-11-05,2022-11-20,2025-12-15,No,124,,State
0000004227,004227,Head Start,2025-12-24,2026-01-19,2027-04-10,No,111,Pre-K,Local
0000004228,004228,Early Head Start,2023-04-13,2023-05-09,2025-04-15,No,70,,Federal
0000004229,004229,Early Head Start,2021-03-29,2021-04-06,2023-03-22,No,49,,Private
0000004229,004229,First Steps,2023-04-08,2023-04-30,2024-03-08,No,28,Early Intervention,Local
0000004229,004229,Head Start,2024-03-17,2024-03-26,2025-03-24,No,86,Pre-K,Local
0000004230,004230,Home Visiting,2019-09-11,2019-10-06,2020-11-20,Yes,17,,Private
0000004230,004230,First Steps,2020-11-23,2020-12-02,2022-05-26,No,45,Early Intervention,Local
0000004230,004230,State Pre-K,2022-06-25,2022-06-29,2023-08-16,No,150,Pre-K,Private
0000004230,004230,Childcare Subsidy,2019-02-16,2019-02-22,2021-07-22,No,161,,Local
0000004230,004230,State Pre-K,2021-07-26,2021-08-21,2023-02-27,No,119,Pre-K,Local
0000004231,004231,First Steps,2022-06-07,2022-06-29,2023-04-24,No,8,Early Intervention,State
0000004231,004231,First Steps,2023-06-01,2023-06-18,2024-02-04,No,19,Early Intervention,State
0000004232,004232,Home Visiting,2021-05-11,2021-06-04,2022-08-01,Yes,13,,Local
0000004232,004232,First Steps,2022-08-23,2022-09-16,2023-08-27,No,30,Early Intervention,Local
0000004232,004232,State Pre-K,2023-09-02,2023-09-20,2025-04-09,No,110,Pre-K,Federal
0000004233,004233,First Steps,2019-01-04,2019-01-31,2019-05-23,No,22,Early Intervention,Private
0000004233,004233,Home Visiting,2019-06-02,2019-06-28,2019-09-20,Yes,9,,Federal
0000004233,004233,Childcare Subsidy,2019-10-06,2019-10-28,2020-08-21,No,45,,Private
0000004233,004233,Child Care,2020-08-28,2020-09-18,2021-02-09,No,141,,Local
0000004233,004233,Early Intervention,2021-03-07,2021-03-21,2022-02-27,No,16,Early Intervention,Private
0000004234,004234,Childcare Subsidy,2022-09-14,2022-10-11,2024-05-23,No,163,,Federal
0000004234,004234,Childcare Subsidy,2024-09-04,2024-09-29,2027-04-12,No,175,,Private
0000004235,004235,First Steps,2022-06-13,2022-06-14,2023-06-16,No,56,Early Intervention,Federal
0000004236,004236,Early Head Start,2020-02-27,2020-03-26,2020-11-11,No,52,,Local
0000004236,004236,Early Intervention,2020-04-25,2020-05-10,2021-08-02,No,14,Early Intervention,Local
0000004237,004237,Child Care,2020-08-21,2020-08-25,2021-04-03,No,90,,State
0000004237,004237,Early Head Start,2021-04-19,2021-04-20,2022-03-24,No,45,,Private
0000004237,004237,Child Care,2022-03-28,2022-04-19,2023-08-06,No,93,,Federal
0000004237,004237,State Pre-K,2023-08-26,2023-09-17,2025-01-11,No,125,Pre-K,State
0000004237,004237,Child Care,2020-08-12,2020-09-02,2022-03-09,No,75,,Local
0000004238,004238,Early Head Start,2020-11-03,2020-11-29,2021-10-06,No,134,,State
0000004238,004238,First Steps,2021-10-19,2021-10-30,2022-01-05,No,18,Early Intervention,Local
0000004239,004239,Child Care,2021-08-25,2021-09-23,2024-07-25,No,201,,Local
0000004239,004239,Childcare Subsidy,2024-08-24,2024-09-10,2025-11-22,No,108,,Private
0000004239,004239,Child Care,2025-11-26,2025-12-11,2027-01-13,No,159,,Private
0000004240,004240,Home Visiting,2019-01-18,2019-02-01,2021-03-17,Yes,17,,Local
0000004240,004240,Childcare Subsidy,2021-04-12,2021-04-13,2022-04-22,No,138,,Local
0000004241,004241,Home Visiting,2022-12-26,2023-01-03,2025-09-07,Yes,12,,Federal
0000004241,004241,Child Care,2023-02-02,2023-02-17,2026-08-26,No,70,,Local
0000004242,004242,Childcare Subsidy,2022-11-26,2022-12-10,2024-05-24,No,74,,Federal
0000004242,004242,Head Start,2024-06-07,2024-06-16,2026-01-03,No,104,Pre-K,Local
0000004242,004242,Childcare Subsidy,2026-01-28,2026-02-13,2026-11-19,No,87,,State
0000004243,004243,First Steps,2019-07-30,2019-08-12,2020-05-02,No,55,Early Intervention,State
0000004243,004243,First Steps,2020-05-04,2020-05-31,2021-01-06,No,9,Early Intervention,Federal
0000004244,004244,Home Visiting,2021-02-18,2021-03-11,2022-12-06,Yes,3,,Federal
0000004244,004244,First Steps,2022-12-23,2023-01-14,2024-08-21,No,11,Early Intervention,Private
0000004244,004244,Childcare Subsidy,2024-09-16,2024-10-08,2026-04-03,No,75,,Local
0000004245,004245,Child Care,2021-05-27,2021-06-22,2023-03-27,No,167,,Private
0000004246,004246,Early Head Start,2023-02-11,2023-02-26,2025-08-03,No,168,,State
0000004246,004246,Child Care,2025-08-24,2025-09-12,2026-09-09,No,197,,Local
0000004247,004247,First Steps,2020-01-04,2020-01-29,2021-06-02,No,19,Early Intervention,State
0000004248,004248,Early Head Start,2022-07-28,2022-08-17,2023-07-07,No,53,,Private
0000004248,004248,Early Head Start,2023-10-19,2023-11-12,2024-02-25,No,56,,Private
0000004249,004249,First Steps,2020-11-02,2020-12-02,2022-11-19,No,20,Early Intervention,Private
0000004249,004249,Child Care,2022-12-10,2022-12-15,2024-10-31,No,50,,State
0000004250,004250,Home Visiting,2020-10-06,2020-10-22,2021-06-16,Yes,4,,Federal
0000004250,004250,Childcare Subsidy,2021-07-06,2021-08-04,2023-01-23,No,186,,State
0000004250,004250,Childcare Subsidy,2023-02-07,2023-02-11,2024-09-11,No,97,,Private
0000004251,004251,Early Intervention,2021-03-10,2021-03-26,2023-03-13,No,47,Early Intervention,Federal
0000004252,004252,Early Intervention,2022-06-09,2022-06-25,2025-04-01,No,42,Early Intervention,Federal
0000004253,004253,Child Care,2021-05-04,2021-05-11,2022-02-20,No,107,,Local
0000004253,004253,Home Visiting,2022-03-09,2022-03-17,2022-07-02,Yes,16,,Private
0000004253,004253,Home Visiting,2022-07-23,2022-08-11,2023-01-23,Yes,12,,Federal
0000004254,004254,Childcare Subsidy,2021-05-21,2021-06-12,2023-09-11,No,157,,Local
0000004255,004255,Home Visiting,2020-02-18,2020-02-26,2021-05-20,Yes,18,,Federal
0000004255,004255,Early Head Start,2021-06-28,2021-07-19,2022-10-16,No,179,,State
0000004255,004255,State Pre-K,2023-01-04,2023-01-10,2024-11-03,No,111,Pre-K,Private
0000004256,004256,Early Head Start,2021-02-14,2021-03-16,2021-12-20,No,46,,Local
0000004256,004256,Home Visiting,2022-02-11,2022-02-13,2023-11-13,Yes,16,,Private
0000004256,004256,Childcare Subsidy,2024-02-15,2024-02-18,2025-06-17,No,120,,State
0000004257,004257,Childcare Subsidy,2022-07-31,2022-08-03,2024-02-23,No,70,,Local
0000004258,004258,Home Visiting,2020-05-01,2020-05-02,2022-11-17,Yes,20,,State
0000004259,004259,Home Visiting,2019-02-06,2019-02-08,2020-08-04,Yes,11,,State
0000004259,004259,Child Care,2020-08-15,2020-08-29,2021-03-15,No,87,,Federal
0000004260,004260,First Steps,2020-04-24,2020-04-25,2020-10-28,No,7,Early Intervention,Private
0000004261,004261,Early Head Start,2020-06-17,2020-06-30,2020-11-06,No,84,,Private
0000004262,004262,Early Intervention,2021-01-03,2021-01-31,2022-01-07,No,19,Early Intervention,State
0000004262,004262,Childcare Subsidy,2022-01-27,2022-02-17,2023-01-09,No,148,,State
0000004263,004263,Child Care,2019-12-20,2020-01-04,2021-04-22,No,130,,Private
0000004264,004264,Early Intervention,2021-01-21,2021-01-31,2023-09-14,No,36,Early Intervention,Local
0000004265,004265,First Steps,2022-10-28,2022-11-20,2023-09-05,No,11,Early Intervention,Federal
0000004265,004265,Early Head Start,2023-09-23,2023-10-14,2024-10-09,No,149,,Private
0000004266,004266,Child Care,2021-08-20,2021-09-19,2023-07-06,No,73,,Local
0000004266,004266,State Pre-K,2023-07-20,2023-08-13,2025-01-28,No,86,Pre-K,Federal
0000004267,004267,Child Care,2020-02-05,2020-02-13,2022-01-25,No,179,,Local
0000004267,004267,Early Head Start,2022-02-04,2022-02-17,2023-06-07,No,46,,Private
0000004267,004267,Childcare Subsidy,2023-06-20,2023-07-15,2024-05-13,No,107,,Local
0000004268,004268,Early Head Start,2022-07-29,2022-08-08,2024-07-08,No,154,,Federal
0000004268,004268,Child Care,2024-07-31,2024-08-09,2026-04-16,No,124,,Federal
0000004269,004269,Early Intervention,2020-01-11,2020-02-06,2021-12-05,No,25,Early Intervention,Private
0000004269,004269,Early Head Start,2021-12-26,2022-01-06,2023-11-10,No,176,,Private
0000004269,004269,Head Start,2023-12-06,2023-12-19,2025-04-03,No,145,Pre-K,Local
0000004270,004270,Childcare Subsidy,2021-03-05,2021-03-08,2022-11-30,No,104,,Private
0000004270,004270,Child Care,2022-12-28,2023-01-19,2024-08-17,No,174,,State
0000004270,004270,Head Start,2024-08-18,2024-08-26,2025-04-17,No,115,Pre-K,Local
0000004270,004270,Childcare Subsidy,2020-10-18,2020-11-04,2021-09-02,No,72,,Local
0000004271,004271,First Steps,2020-09-28,2020-10-04,2022-08-09,No,10,Early Intervention,Federal
0000004271,004271,Child Care,2022-08-31,2022-09-28,2024-03-30,No,128,,Private
0000004272,004272,Early Head Start,2021-01-17,2021-02-01,2023-02-04,No,180,,State
0000004272,004272,Childcare Subsidy,2023-02-13,2023-03-15,2024-06-29,No,188,,Private
0000004273,004273,Early Head Start,2022-12-05,2022-12-14,2023-08-10,No,95,,Federal
0000004273,004273,Child Care,2023-08-19,2023-08-25,2024-05-15,No,113,,State
0000004274,004274,Home Visiting,2022-08-29,2022-09-21,2024-03-29,Yes,10,,Federal
0000004275,004275,Early Head Start,2020-11-08,2020-11-16,2022-03-17,No,55,,Private
0000004276,004276,Early Head Start,2020-09-25,2020-10-20,2022-05-20,No,75,,Federal
0000004276,004276,State Pre-K,2020-11-19,2020-12-04,2023-01-05,No,125,Pre-K,Private
0000004276,004276,State Pre-K,2023-01-30,2023-02-02,2024-08-11,No,122,Pre-K,State
0000004277,004277,Early Intervention,2023-02-25,2023-03-24,2023-12-27,No,21,Early Intervention,Federal
0000004278,004278,Early Intervention,2023-01-16,2023-01-30,2024-09-14,No,24,Early Intervention,Federal
0000004279,004279,First Steps,2019-09-21,2019-10-09,2021-07-20,No,36,Early Intervention,Federal
0000004279,004279,State Pre-K,2021-07-25,2021-08-23,2023-02-24,No,78,Pre-K,State
0000004279,004279,Early Intervention,2019-01-01,2019-01-30,2020-02-27,No,35,Early Intervention,Federal
0000004280,004280,Child Care,2020-04-30,2020-05-16,2022-10-25,No,147,,Local
0000004281,004281,Home Visiting,2021-11-27,2021-12-14,2024-04-06,Yes,8,,Local
0000004281,004281,Child Care,2024-04-14,2024-05-05,2026-02-21,No,193,,Private
0000004282,004282,Early Intervention,2022-03-27,2022-04-19,2023-10-21,No,56,Early Intervention,Local
0000004282,004282,Child Care,2023-11-13,2023-12-09,2025-07-31,No,148,,Local
0000004283,004283,Early Intervention,2022-02-24,2022-03-15,2022-10-05,No,21,Early Intervention,Local
0000004284,004284,First Steps,2021-09-05,2021-09-27,2024-04-21,No,15,Early Intervention,Local
0000004285,004285,Child Care,2021-06-01,2021-06-14,2023-02-11,No,105,,Federal
0000004285,004285,Childcare Subsidy,2023-04-28,2023-05-24,2025-03-30,No,109,,Federal
0000004285,004285,Home Visiting,2020-12-31,2021-01-06,2022-09-02,Yes,21,,State
0000004285,004285,Early Head Start,2022-11-02,2022-11-06,2024-04-07,No,174,,State
0000004286,004286,Early Intervention,2018-11-24,2018-12-16,2020-05-05,No,17,Early Intervention,State
0000004286,004286,Early Intervention,2020-05-11,2020-06-05,2021-12-13,No,9,Early Intervention,Private
0000004287,004287,Home Visiting,2021-05-21,2021-05-26,2022-01-08,Yes,15,,Private
0000004287,004287,First Steps,2022-02-02,2022-02-16,2023-01-07,No,37,Early Intervention,Local
0000004288,004288,First Steps,2020-08-15,2020-08-16,2022-08-15,No,38,Early Intervention,Federal
0000004289,004289,Early Head Start,2020-08-17,2020-09-03,2023-01-26,No,205,,Local
0000004290,004290,Early Head Start,2021-06-10,2021-07-07,2022-06-16,No,109,,Federal
0000004290,004290,Early Intervention,2022-06-28,2022-07-16,2023-08-27,No,16,Early Intervention,Federal
0000004291,004291,First Steps,2021-07-23,2021-08-03,2022-04-12,No,18,Early Intervention,Private
0000004292,004292,Early Intervention,2020-10-21,2020-10-22,2022-05-23,No,13,Early Intervention,Private
0000004292,004292,Early Intervention,2020-11-21,2020-12-06,2023-06-12,No,16,Early Intervention,Private
0000004293,004293,Early Intervention,2021-12-28,2022-01-17,2023-10-22,No,15,Early Intervention,State
0000004294,004294,Early Head Start,2020-01-09,2020-02-04,2021-12-25,No,201,,Federal
0000004294,004294,Child Care,2022-01-18,2022-02-15,2024-01-25,No,179,,Local
0000004295,004295,Early Head Start,2020-05-17,2020-05-21,2020-08-24,No,120,,Local
0000004295,004295,First Steps,2020-09-01,2020-09-19,2021-05-23,No,25,Early Intervention,Federal
0000004295,004295,Early Intervention,2021-05-28,2021-06-23,2021-10-25,No,14,Early Intervention,Federal
0000004296,004296,Child Care,2021-11-17,2021-12-16,2022-05-03,No,133,,Local
0000004296,004296,Child Care,2022-07-24,2022-08-10,2023-03-24,No,71,,Private
0000004296,004296,Head Start,2023-08-15,2023-09-10,2023-12-28,No,77,Pre-K,Federal
0000004297,004297,Child Care,2021-03-01,2021-03-21,2022-06-18,No,54,,Federal
0000004298,004298,Early Head Start,2021-08-06,2021-08-24,2023-05-13,No,53,,Private
0000004298,004298,Home Visiting,2023-05-25,2023-05-31,2024-05-16,Yes,12,,Private
0000004299,004299,Early Head Start,2020-10-09,2020-11-07,2022-03-28,No,54,,Local
0000004299,004299,Childcare Subsidy,2022-04-02,2022-04-10,2024-04-17,No,59,,State
0000004299,004299,Childcare Subsidy,2024-05-12,2024-05-21,2024-11-10,No,69,,Local
0000004300,004300,Early Head Start,2019-12-06,2019-12-17,2021-05-30,No,114,,Federal
0000004301,004301,Childcare Subsidy,2021-02-10,2021-03-12,2021-11-17,No,126,,Private
0000004302,004302,First Steps,2022-12-02,2022-12-31,2025-09-02,No,16,Early Intervention,Federal
0000004303,004303,Home Visiting,2022-02-25,2022-03-07,2025-02-14,Yes,24,,Private
0000004303,004303,Child Care,2022-04-06,2022-04-21,2026-02-07,No,177,,Federal
0000004304,004304,First Steps,2020-01-03,2020-01-17,2022-05-18,No,41,Early Intervention,State
0000004304,004304,Child Care,2022-05-31,2022-06-10,2023-07-15,No,48,,Local
0000004304,004304,Childcare Subsidy,2019-01-15,2019-02-12,2021-07-28,No,50,,Local
0000004305,004305,Home Visiting,2020-09-16,2020-10-13,2022-02-14,Yes,21,,Private
0000004305,004305,Early Intervention,2020-11-12,2020-11-27,2023-05-24,No,35,Early Intervention,Federal
0000004306,004306,Early Head Start,2022-10-18,2022-11-12,2024-03-03,No,191,,Local
0000004307,004307,Childcare Subsidy,2020-12-02,2020-12-05,2022-09-29,No,49,,Local
0000004307,004307,Child Care,2022-10-18,2022-10-22,2024-07-23,No,122,,Federal
0000004308,004308,First Steps,2020-06-11,2020-06-23,2021-08-16,No,46,Early Intervention,State
0000004309,004309,First Steps,2023-03-27,2023-04-23,2023-09-05,No,15,Early Intervention,Local
0000004309,004309,First Steps,2023-09-12,2023-10-12,2024-09-21,No,8,Early Intervention,Local
0000004309,004309,Head Start,2024-10-19,2024-11-05,2025-10-12,No,61,Pre-K,Federal
0000004310,004310,Early Intervention,2020-10-26,2020-11-20,2022-06-23,No,20,Early Intervention,State
0000004310,004310,Child Care,2022-07-26,2022-07-30,2024-05-15,No,106,,State
0000004311,004311,Early Head Start,2022-06-11,2022-07-11,2024-05-23,No,118,,Federal
0000004311,004311,State Pre-K,2022-08-10,2022-08-25,2025-11-30,No,123,Pre-K,Local
0000004311,004311,Home Visiting,2021-08-01,2021-08-03,2023-04-19,Yes,5,,Local
0000004311,004311,Early Head Start,2023-05-02,2023-05-28,2024-07-07,No,145,,Private
0000004311,004311,State Pre-K,2024-07-30,2024-08-18,2026-01-29,No,168,Pre-K,State
0000004312,004312,Childcare Subsidy,2019-06-12,2019-07-08,2020-10-19,No,73,,Federal
0000004312,004312,Child Care,2020-10-22,2020-11-15,2023-02-06,No,86,,Local
0000004313,004313,Home Visiting,2021-03-11,2021-04-06,2023-01-06,Yes,21,,State
0000004314,004314,Child Care,2019-06-14,2019-07-14,2021-12-06,No,215,,Local
0000004314,004314,Head Start,2022-03-17,2022-04-06,2023-11-05,No,155,Pre-K,State
0000004314,004314,First Steps,2019-05-08,2019-06-01,2020-10-12,No,8,Early Intervention,State
0000004314,004314,Early Head Start,2020-11-15,2020-11-19,2023-02-13,No,143,,Federal
0000004314,004314,Childcare Subsidy,2019-05-08,2019-05-10,2021-07-07,No,153,,Federal
0000004315,004315,Early Intervention,2021-07-06,2021-07-20,2023-03-11,No,35,Early Intervention,Federal
0000004316,004316,Home Visiting,2022-05-10,2022-05-18,2024-02-11,Yes,18,,Federal
0000004317,004317,Child Care,2018-12-22,2019-01-09,2021-03-15,No,138,,Private
0000004318,004318,Child Care,2021-06-13,2021-06-14,2023-08-09,No,155,,Private
0000004319,004319,Child Care,2022-12-19,2022-12-22,2024-05-22,No,76,,Federal
0000004320,004320,Early Head Start,2020-07-23,2020-07-30,2021-08-08,No,41,,Private
0000004320,004320,Childcare Subsidy,2021-08-26,2021-09-09,2022-10-03,No,76,,Federal
0000004321,004321,Childcare Subsidy,2020-01-13,2020-01-25,2021-01-16,No,96,,Federal
0000004321,004321,Early Intervention,2021-02-08,2021-02-10,2021-10-01,No,19,Early Intervention,Local
0000004322,004322,Early Intervention,2019-07-07,2019-08-04,2021-08-26,No,21,Early Intervention,Private
0000004323,004323,Early Intervention,2022-04-28,2022-05-28,2023-11-05,No,11,Early Intervention,State
0000004323,004323,Childcare Subsidy,2024-02-14,2024-02-28,2025-04-16,No,116,,Private
0000004324,004324,First Steps,2020-06-12,2020-06-27,2021-10-01,No,35,Early Intervention,Private
0000004324,004324,Early Intervention,2021-10-04,2021-10-08,2024-02-21,No,46,Early Intervention,Local
0000004324,004324,Child Care,2020-02-14,2020-03-12,2023-01-19,No,203,,Federal
0000004325,004325,Child Care,2020-08-09,2020-08-24,2021-05-07,No,53,,Private
0000004325,004325,Early Intervention,2021-05-20,2021-06-13,2021-09-30,No,7,Early Intervention,Local
0000004326,004326,First Steps,2018-10-09,2018-10-24,2019-12-17,No,52,Early Intervention,State
0000004326,004326,Home Visiting,2019-12-28,2020-01-04,2021-06-26,Yes,10,,State
0000004327,004327,Childcare Subsidy,2021-09-30,2021-10-01,2023-07-25,No,136,,Private
0000004327,004327,State Pre-K,2023-09-11,2023-09-23,2024-08-13,No,78,Pre-K,Local
